Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2007,122.767,123.339,123.817,124.077,124.215,125.074,125.416,125.399,125.255,125.180,125.183,125.272,124.583
2008,125.966,126.434,127.280,127.644,128.164,129.269,130.131,129.985,129.584,129.189,128.667,128.495,128.401
2009,128.891,128.916,128.896,128.643,128.543,129.147,129.154,129.001,128.629,128.337,127.966,127.826,128.662
2010,128.134,128.058,128.122,127.966,128.042,128.522,128.726,128.629,128.428,128.132,127.974,128.180,128.243
2011,128.540,128.867,129.103,129.198,129.520,130.162,130.638,130.721,130.773,130.567,130.485,130.597,129.931
2012,130.944,131.026,131.235,131.392,131.569,132.227,132.324,132.424,132.540,132.444,132.480,132.617,131.935
2013,133.036,133.383,133.520,133.724,134.250,134.900,135.108,135.185,135.288,135.048,135.104,135.374,
2014,136.203,136.634,137.284,137.122,137.738,138.413,138.772,138.810,138.849,138.746,138.630,138.762,
2015,139.200,139.405,139.604,139.779,140.011,140.761,141.123,141.177,141.377,141.214,141.124,141.157,
2016,141.661,141.936,142.220,142.419,142.966,143.827,144.134,144.333,144.663,144.757,144.719,145.039,